Username,Rating,Date,Comment,Sentiment_VADER,Sentiment_Transformers
Michelle Y.,5,12 Jul 2023,well pack fast delivery,positive,positive
Vincent C.,5,26 Aug 2021,suprise delivery superb mouse feel premium,positive,positive
T***.,5,26 Aug 2021,good nice,positive,positive
Amirul S.,5,25 Aug 2021,excellent mouse box dented thats courier problem,positive,negative
Gagandeep S.,5,16 Apr 2023,functionality quality material,neutral,positive
Wan,5,30 Mar 2023,mantapterbaikpowerpadu,neutral,negative
jw,5,06 Apr 2023,qualitygood functionalitybest,neutral,positive
Zi K.,5,27 Nov 2020,ship fast come good condition,positive,positive
J***.,5,20 Aug 2021,good quality smooth nice use like,positive,positive
Carson L.,5,14 Aug 2021,nice product issue ghub installation come mac mini lucky manage resolve thru research online adjust weight dpi rgb lighting custom key scroll method,positive,positive
Mohamad F.,5,09 Aug 2021,great product logi multiple feature suitable gaming productivity increased weight give precised aiming game,positive,positive
Kim M.,5,06 Aug 2021,good stuff,positive,positive
Jeeventhiran S.,5,27 Jul 2021,awesome product legit,positive,positive
Alias A.,5,03 Sep 2021,great 👍,positive,positive
Wong J.,5,16 Oct 2020,complaint buy logitech shop there offer next time,negative,negative
Tengku J.,5,16 Oct 2020,banyak dpi setting boleh custom multifunctional button sexy gila mouse ni mmg smooth sedap sting aku yahuuuu,positive,negative
T***.,5,19 Jul 2021,正品，包装仔细没有被压坏，3天就收到。好评。,neutral,negative
W***n,5,16 Jul 2021,best gaming mouse ever use satisfied feature mouse really recommended guy buy worth every penny,positive,positive
Verat Y.,5,13 Jul 2021,fast delivery well packaged damage satisfied product,positive,positive
Win J.,5,26 Jun 2023,arrived quickly 👍,neutral,positive
*******068,5,01 Jul 2021,fast delivery,neutral,positive
Kelvin T.,5,28 Jun 2021,fast delivery good condition,positive,positive
Raynner U.,5,26 Jun 2021,best mouse ever thank,positive,positive
O***.,5,22 Jun 2021,absolutely stunning,positive,positive
Muhamad R.,5,09 Jun 2023,nice,positive,positive
Sc K.,5,11 Jun 2023,qualitygood,neutral,positive
Im C.,5,12 Jun 2021,barang smpai dlm keadaan yg bagus dent sikit sahaja pada kotak guna pun x da masalah seller respon cpat barang ori,neutral,negative
Jia L.,5,12 Jun 2021,good quality product packaging nicely done,positive,positive
Hoo C.,5,11 Aug 2020,beginning scroller bit heavytight 1 month tension ok,negative,negative
Janith S.,5,17 Jul 2020,best gaming mouse,positive,positive
Salman A.,5,13 Jul 2020,item received well package bubble wrapped damage delivery expected 2 week received 5 day earlier thankyou lazada logitech worth money buy,negative,positive
Nur Z.,5,16 Jun 2020,unlucky mouse got bit problemthe sensor mouse sometimes tend disappear make hard use gaming disappointed product generally mouse looking good technically problem,negative,negative
Jonathan Y.,5,16 Jun 2020,good packaging nice mouse,positive,positive
Kenneth C.,5,21 Apr 2021,shipping quick product described weight feel nice without additional weight perfect upgrade,negative,positive
Mr B.,5,21 Apr 2021,fastest ship seller product expected good,positive,positive
David L.,5,08 Apr 2021,ergonomic spot,neutral,negative
Kelvin K.,5,08 May 2020,good quality,positive,positive
Joshua W.,5,07 Apr 2021,good product good price fast delivery,positive,positive
Chen Y.,5,19 Jul 2021,😂👍👍👍,neutral,negative
jayden,5,30 Apr 2020,perfect mouse,positive,positive
soon,5,02 Apr 2021,good condition ＆ fast delivery good jod,positive,positive
Soon H.,5,02 Apr 2021,love,positive,positive
Amirul A.,5,02 Apr 2021,buy sale worth every penny,positive,positive
j***.,5,01 Apr 2021,package condition packaging good,positive,positive
Harfa E.,5,26 Apr 2020,great item fast delivery,positive,positive
N***.,5,31 Mar 2021,fast delivery sooner expected included free mouse case wellalthough box little bump stuff still good condition👍🏻,positive,positive
danish,5,27 Mar 2021,great product fast delivery recommended,positive,positive
Keshihakumar,5,18 Apr 2020,product delivered quickly expected even mco thumb seller product packaged well dent box mouse performance exceptional thanks great service seller,positive,positive
Wilson C.,5,25 Mar 2021,smooth n nice,positive,positive
Ng Y.,5,15 Apr 2020,arrived good quality bought good price,positive,positive
muhammad H.,5,16 Mar 2020,super fast delivery,positive,positive
Ian K.,5,12 Mar 2020,ordered yesterday arrived 1 day,neutral,positive
eddie,5,19 Jun 2021,perfect,positive,positive
T***.,5,05 Feb 2023,fast delivery good quality box bit crush overall good thank,positive,positive
Elgin,5,13 Feb 2020,good condition sent within 2 day 👍🏻,positive,positive
Pang C.,5,09 Feb 2020,good service get product good condition,positive,positive
Low W.,5,22 Aug 2021,product didnt damaged although abit box working fine feel really nice use,positive,positive
Lee J.,5,19 Dec 2021,good mouse,positive,positive
A***.,5,12 Sep 2021,mouse work intended,neutral,positive
MOHD A.,5,22 Aug 2021,quick work seller expected mouse performing promised 👍🏼,positive,negative
Vince H.,5,23 Mar 2023,nice mouse,positive,positive
1***5,5,14 Dec 2020,couple knock ding box product good,positive,positive
TANG Y.,5,09 Nov 2019,high quality mouse trust logitech mouse us rainbow six siege adjustable dpi worthy buy gaming,positive,positive
Sakib A.,5,10 Feb 2021,best,positive,positive
K***.,5,23 Oct 2022,good,positive,positive
Marshall X.,5,07 Oct 2019,nice，well function fast delivery，get 2days,neutral,positive
CHANG K.,5,30 Sep 2019,super fast delivery ordered monday received wednesday,positive,negative
Ian K.,5,25 Sep 2019,product good,positive,positive
Hamizan H.,5,16 Jul 2019,really like,positive,positive
Wee X.,5,18 Sep 2020,good quality original trusted seller received 2 day fast delivery,positive,positive
Kong S.,5,14 Aug 2020,fast delivery,neutral,positive
Lewis Y.,5,16 Dec 2022,delivered within 4days ordered packaging slightly improvement🙏🏻,neutral,negative
Mohd.Isman K.,5,27 Jul 2022,fast delivery received item within 3 day packing ok box dent hard plastic within badly torn respective area box visible damage also sculp plastic base doesnt fit mouse im guessing o cannibalize material different item merchandise working fine guess thats theyre giving discount overall acceptable,negative,negative
Annie L.,5,12 Jul 2020,ordered paid 77 received good condition 107 mouse far good,positive,positive
Asyraf R.,5,11 Jul 2020,received work perfectly dont know cant upload picture option video,positive,positive
Faris H.,5,22 Jun 2020,item delivered time product work expected would hesitation buying seller,negative,negative
kook C.,5,06 Jul 2021,nice,positive,positive
ahmad R.,5,11 Jun 2020,bought rm182 promo steal item work flawlessly great product,positive,positive
amer Y.,5,03 Jun 2020,packaging give 4 5 product well know logitech wanted lightspeed coz wireless price always main problem overall one best gaming mouse ive ever use 💟💟💟💟💟,positive,positive
mohdashmand,5,31 May 2020,good product quality happy purchase,positive,positive
THAM B.,5,21 May 2020,nice product fast delivery,positive,positive
塞塞LaP,5,20 May 2020,nicely packed nice mouse playing shooting game worth price,positive,positive
Ku Y.,5,19 May 2020,great mouse good packaging,positive,positive
Lim W.,5,12 Aug 2020,noice,neutral,negative
Brenda K.,5,19 Dec 2019,courier throw parcel house without informing anything didnt even call receiver delivering parcel parcel left outside house two day cuz one home poor delivery service,negative,negative
Tary N.,5,13 Sep 2019,底部有点小瑕疵,neutral,negative
Syed F.,5,05 Jul 2019,almost month using still really good satisfied recomment everyone buy mouse right handed,positive,positive
n***.,5,03 Apr 2022,guuud,neutral,negative
BL,5,15 Apr 2020,good,positive,positive
Lim J.,5,28 Nov 2020,fast delivery ordered 27 november 2020 morning received 28 november 2020 afternoon box damaged received item good condition,neutral,negative
Jack W.,5,18 Dec 2022,good,positive,positive
F***.,5,15 Jul 2021,received 10 day box dent fortunately mouse everything well,positive,positive
*******699,5,11 Jun 2021,even though package wasbang still item inside fine,positive,positive
clement C.,5,11 Jul 2020,great mouse match old blackwidow ultimate receive second day purchase 😎👍🏻 thing good box slight damaged,positive,negative
Chw O.,5,03 May 2021,mouse received need explain,neutral,negative
Y***i,5,05 Apr 2021,box already dented received parcel packaging good enough maybe wrap woth bubble wrap overall satisfied item work perfectly fine,positive,negative
jokertu J.,5,05 Mar 2023,quality：,neutral,positive
Wan S.,5,17 Dec 2021,deliver throw parcel item electronic product parcel got show fragile itemand deliver throw responsibility actually item good quality good cable quality match,positive,positive
*******493,5,16 Sep 2022,box received little bit crumpled ive tested mouse nothing break advice put extra protection im surprised company prestige cant afford give customer box delivery since bought mouse keyboard buy logitech maybe improve shipment handling ofc nah,positive,negative
M***.,5,05 Sep 2022,packaging good instruction menu help understanding mouse button fucntion,positive,positive
noctis L.,5,19 Feb 2023,nice,positive,positive
Teng Y.,5,16 Dec 2020,fast delivery box got damaged bit,negative,negative
Tain W.,5,12 Sep 2020,upgrade g102 like alot extra button,positive,positive
Yamaguchi K.,5,30 May 2021,item received good condition bubble wrap issue delay delivery date satisfactory,positive,positive
Cheng C.,5,02 Oct 2019,g502 work beautifully packaging got destroyed,positive,negative
Hardeep,5,03 Jun 2020,hand best gaming mouse buy imho afford hundred go wireless g502 package well packed mean compactly put inside box plastic air pocket thingy downside long took item processed yep processed delivery delivery fast item picked tuesday delivered next day took exactly week get item purchased logitech brand day rm 179 absolutely steal btw,positive,negative
Findmail,5,02 Jun 2020,decent delivery speed,neutral,positive
Bally,5,15 Jul 2021,item good box bit dented overall functionality item tip top come logitech sticker weight item u customise mouse fine product delivery worse ever im giving low rating delivery item 13 day item order placed paid get item initial 5 day update whereabouts stuck somewhere msg one representative say mark item urgent,positive,negative
Arif S.,5,28 May 2020,item received good condit,positive,positive
J***g,5,15 Jun 2021,mouse serial number different serial number box register product warranty logitech g account shall use serial number tag label mouse box future case there issue mouse wish trying pushing customer away due serial number issue im entitle claimthis faulthow logitech ship way selling display unit,positive,negative
j***.,5,21 May 2021,it ’ s suckz delivery service 20th may 2021 lazada account show received item ppl don ’ t know i ’ m home whole day din ’ t received call saw express came house prove delivery picture black next day 21thmay2021 leave item like picture upload risk item damaged allowed others take away easily anyway i ’ m going give 1 star seller due customer service reply nicely,positive,negative
Hazrin Z.,5,23 May 2021,item arrived safely location thing im satisfied driver cant figure work team member help pls explain problem,positive,negative
1***8,5,01 Mar 2023,不推荐购买，kable和图片里不一样，我在实体店也找过这个滑鼠，实体店的话kable和图片一样，所以这个滑鼠不确定是不是正品，不建议购买，而且实体店要优惠过后和这里给的价格几乎一样，推荐去实体店买吧。,neutral,negative
F***.,5,31 Dec 2021,smaller g402 clunkier scroll wheel box also wrinkled,neutral,negative
Sylvester M.,5,17 May 2020,received dented boxthin wrapmouse rgb secondary function accept due dont want wait long anymore take 1 month receive,positive,negative
Liew C.,5,12 Sep 2021,delay long shipping,negative,negative
*******989,5,29 Jun 2022,没有说明书只能自己凭感觉拼，图片上说有送贴的镊子收到之后也没有附赠品,neutral,negative
J***.,5,08 Nov 2021,mouse doesnt register drag click managed get 2 5 cps hope technician solve problem,positive,negative
Kwok E.,5,02 Jun 2020,buy logitech flagship store expect good quality mouse wheel wobbly like lose screw something keep shaking noisy moving smhask seller replacement tell email clickasiamy make wonder even official logitech store,positive,negative
