Username,Rating,Date,Comment
Elgin,5,13 Feb 2020,good condition sent within 2 day 👍🏻
Pang C.,5,09 Feb 2020,good service get product good condition
Low W.,5,22 Aug 2021,product didnt damaged although abit box working fine feel really nice use
Lee J.,5,19 Dec 2021,good mouse
A***.,5,12 Sep 2021,mouse work intended
MOHD A.,5,22 Aug 2021,quick work seller expected mouse performing promised 👍🏼
Vince H.,5,23 Mar 2023,nice mouse
1***5,5,14 Dec 2020,couple knock ding box product good
TANG Y.,5,09 Nov 2019,high quality mouse trust logitech mouse us rainbow six siege adjustable dpi worthy buy gaming
Sakib A.,5,10 Feb 2021,best
K***.,5,23 Oct 2022,good
Marshall X.,5,07 Oct 2019,nice，well function fast delivery，get 2days
CHANG K.,5,30 Sep 2019,super fast delivery ordered monday received wednesday
Ian K.,5,25 Sep 2019,product good
Hamizan H.,5,16 Jul 2019,really like
Wee X.,5,18 Sep 2020,good quality original trusted seller received 2 day fast delivery
Kong S.,5,14 Aug 2020,fast delivery
Lewis Y.,5,16 Dec 2022,delivered within 4days ordered packaging slightly improvement🙏🏻
Mohd.Isman K.,5,27 Jul 2022,fast delivery received item within 3 day packing ok box dent hard plastic within badly torn respective area box visible damage also sculp plastic base doesnt fit mouse im guessing o cannibalize material different item merchandise working fine guess thats theyre giving discount overall acceptable
Annie L.,5,12 Jul 2020,ordered paid 77 received good condition 107 mouse far good
Asyraf R.,5,11 Jul 2020,received work perfectly dont know cant upload picture option video
Faris H.,5,22 Jun 2020,item delivered time product work expected would hesitation buying seller
kook C.,5,06 Jul 2021,nice
ahmad R.,5,11 Jun 2020,bought rm182 promo steal item work flawlessly great product
amer Y.,5,03 Jun 2020,packaging give 4 5 product well know logitech wanted lightspeed coz wireless price always main problem overall one best gaming mouse ive ever use 💟💟💟💟💟
mohdashmand,5,31 May 2020,good product quality happy purchase
THAM B.,5,21 May 2020,nice product fast delivery
塞塞LaP,5,20 May 2020,nicely packed nice mouse playing shooting game worth price
Ku Y.,5,19 May 2020,great mouse good packaging
Lim W.,5,12 Aug 2020,noice
Brenda K.,5,19 Dec 2019,courier throw parcel house without informing anything didnt even call receiver delivering parcel parcel left outside house two day cuz one home poor delivery service
Tary N.,5,13 Sep 2019,底部有点小瑕疵
Syed F.,5,05 Jul 2019,almost month using still really good satisfied recomment everyone buy mouse right handed
n***.,5,03 Apr 2022,guuud
BL,5,15 Apr 2020,good
Lim J.,5,28 Nov 2020,fast delivery ordered 27 november 2020 morning received 28 november 2020 afternoon box damaged received item good condition
Jack W.,5,18 Dec 2022,good
F***.,5,15 Jul 2021,received 10 day box dent fortunately mouse everything well
*******699,5,11 Jun 2021,even though package wasbang still item inside fine
clement C.,5,11 Jul 2020,great mouse match old blackwidow ultimate receive second day purchase 😎👍🏻 thing good box slight damaged
Chw O.,5,03 May 2021,mouse received need explain
Y***i,5,05 Apr 2021,box already dented received parcel packaging good enough maybe wrap woth bubble wrap overall satisfied item work perfectly fine
jokertu J.,5,05 Mar 2023,quality：
Wan S.,5,17 Dec 2021,deliver throw parcel item electronic product parcel got show fragile itemand deliver throw responsibility actually item good quality good cable quality match
*******493,5,16 Sep 2022,box received little bit crumpled ive tested mouse nothing break advice put extra protection im surprised company prestige cant afford give customer box delivery since bought mouse keyboard buy logitech maybe improve shipment handling ofc nah
M***.,5,05 Sep 2022,packaging good instruction menu help understanding mouse button fucntion
noctis L.,5,19 Feb 2023,nice
Teng Y.,5,16 Dec 2020,fast delivery box got damaged bit
Tain W.,5,12 Sep 2020,upgrade g102 like alot extra button
Yamaguchi K.,5,30 May 2021,item received good condition bubble wrap issue delay delivery date satisfactory
Cheng C.,5,02 Oct 2019,g502 work beautifully packaging got destroyed
Hardeep,5,03 Jun 2020,hand best gaming mouse buy imho afford hundred go wireless g502 package well packed mean compactly put inside box plastic air pocket thingy downside long took item processed yep processed delivery delivery fast item picked tuesday delivered next day took exactly week get item purchased logitech brand day rm 179 absolutely steal btw
Findmail,5,02 Jun 2020,decent delivery speed
Bally,5,15 Jul 2021,item good box bit dented overall functionality item tip top come logitech sticker weight item u customise mouse fine product delivery worse ever im giving low rating delivery item 13 day item order placed paid get item initial 5 day update whereabouts stuck somewhere msg one representative say mark item urgent
Arif S.,5,28 May 2020,item received good condit
J***g,5,15 Jun 2021,mouse serial number different serial number box register product warranty logitech g account shall use serial number tag label mouse box future case there issue mouse wish trying pushing customer away due serial number issue im entitle claimthis faulthow logitech ship way selling display unit
j***.,5,21 May 2021,it ’ s suckz delivery service 20th may 2021 lazada account show received item ppl don ’ t know i ’ m home whole day din ’ t received call saw express came house prove delivery picture black next day 21thmay2021 leave item like picture upload risk item damaged allowed others take away easily anyway i ’ m going give 1 star seller due customer service reply nicely
Hazrin Z.,5,23 May 2021,item arrived safely location thing im satisfied driver cant figure work team member help pls explain problem
1***8,5,01 Mar 2023,不推荐购买，kable和图片里不一样，我在实体店也找过这个滑鼠，实体店的话kable和图片一样，所以这个滑鼠不确定是不是正品，不建议购买，而且实体店要优惠过后和这里给的价格几乎一样，推荐去实体店买吧。
F***.,5,31 Dec 2021,smaller g402 clunkier scroll wheel box also wrinkled
Sylvester M.,5,17 May 2020,received dented boxthin wrapmouse rgb secondary function accept due dont want wait long anymore take 1 month receive
Liew C.,5,12 Sep 2021,delay long shipping
*******989,5,29 Jun 2022,没有说明书只能自己凭感觉拼，图片上说有送贴的镊子收到之后也没有附赠品
J***.,5,08 Nov 2021,mouse doesnt register drag click managed get 2 5 cps hope technician solve problem
Kwok E.,5,02 Jun 2020,buy logitech flagship store expect good quality mouse wheel wobbly like lose screw something keep shaking noisy moving smhask seller replacement tell email clickasiamy make wonder even official logitech store
